Clean dataset
Avg Accuracy, 99 %
Accuracy of 0, 99 %
Accuracy of 1, 99 %
Accuracy of 2, 99 %
Accuracy of 3, 99 %
Accuracy of 4, 99 %
Accuracy of 5, 99 %
Accuracy of 6, 98 %
Accuracy of 7, 99 %
Accuracy of 8, 99 %
Accuracy of 9, 98 %
L_inf attack methods
FGSM attack
Avg Accuracy, 43 %
Accuracy of 0, 51 %
Accuracy of 1, 42 %
Accuracy of 2, 23 %
Accuracy of 3, 71 %
Accuracy of 4, 76 %
Accuracy of 5, 13 %
Accuracy of 6, 29 %
Accuracy of 7, 49 %
Accuracy of 8, 69 %
Accuracy of 9,  9 %
BIM attack
Avg Accuracy, 22 %
Accuracy of 0, 23 %
Accuracy of 1, 14 %
Accuracy of 2,  5 %
Accuracy of 3, 48 %
Accuracy of 4, 52 %
Accuracy of 5,  2 %
Accuracy of 6,  3 %
Accuracy of 7, 29 %
Accuracy of 8, 44 %
Accuracy of 9,  1 %
Untargeted Linf_PGD attack
Avg Accuracy, 25 %
Accuracy of 0, 25 %
Accuracy of 1, 17 %
Accuracy of 2,  7 %
Accuracy of 3, 52 %
Accuracy of 4, 57 %
Accuracy of 5,  3 %
Accuracy of 6,  4 %
Accuracy of 7, 33 %
Accuracy of 8, 48 %
Accuracy of 9,  2 %
Targeted Linf_PGD attack
Avg Accuracy, 55 %
Accuracy of 0, 77 %
Accuracy of 1, 62 %
Accuracy of 2, 21 %
Accuracy of 3, 99 %
Accuracy of 4, 84 %
Accuracy of 5, 23 %
Accuracy of 6, 37 %
Accuracy of 7, 50 %
Accuracy of 8, 50 %
Accuracy of 9, 44 %
Untargeted L2_PGD attack
Avg Accuracy, 89 %
Accuracy of 0, 95 %
Accuracy of 1, 85 %
Accuracy of 2, 86 %
Accuracy of 3, 96 %
Accuracy of 4, 98 %
Accuracy of 5, 77 %
Accuracy of 6, 82 %
Accuracy of 7, 92 %
Accuracy of 8, 99 %
Accuracy of 9, 83 %
Targeted L2_PGD attack
Avg Accuracy, 89 %
Accuracy of 0, 95 %
Accuracy of 1, 85 %
Accuracy of 2, 86 %
Accuracy of 3, 96 %
Accuracy of 4, 98 %
Accuracy of 5, 77 %
Accuracy of 6, 82 %
Accuracy of 7, 92 %
Accuracy of 8, 99 %
Accuracy of 9, 83 %
L0 attack methods
Untargeted JSMA attack
Avg Accuracy, 94 %
Accuracy of 0, 98 %
Accuracy of 1, 91 %
Accuracy of 2, 92 %
Accuracy of 3, 98 %
Accuracy of 4, 99 %
Accuracy of 5, 88 %
Accuracy of 6, 90 %
Accuracy of 7, 96 %
Accuracy of 8, 100 %
Accuracy of 9, 91 %
Targeted JSMA attack
Avg Accuracy, 10 %
Accuracy of 0,  0 %
Accuracy of 1,  0 %
Accuracy of 2,  0 %
Accuracy of 3, 100 %
Accuracy of 4,  0 %
Accuracy of 5,  0 %
Accuracy of 6,  0 %
Accuracy of 7,  0 %
Accuracy of 8,  0 %
Accuracy of 9,  0 %
L0 attack methods
Decoupled Direction and Norm attack
Avg Accuracy, 0 %
Accuracy of 0,  0 %
Accuracy of 1,  0 %
Accuracy of 2,  0 %
Accuracy of 3,  0 %
Accuracy of 4,  0 %
Accuracy of 5,  0 %
Accuracy of 6,  0 %
Accuracy of 7,  0 %
Accuracy of 8,  0 %
Accuracy of 9,  0 %
L-BFGS attack
Avg Accuracy, 99 %
Accuracy of 0, 100 %
Accuracy of 1, 100 %
Accuracy of 2, 99 %
Accuracy of 3, 100 %
Accuracy of 4, 100 %
Accuracy of 5, 99 %
Accuracy of 6, 99 %
Accuracy of 7, 99 %
Accuracy of 8, 100 %
Accuracy of 9, 99 %
